balance,pdays,previous,housing,contact_unknown,poutcome_success,y
12.892606383524281,-1,0,1,1,0,0
3.0723168256858475,-1,0,1,1,0,0
1.259921049894873,-1,0,1,1,0,0
11.462384976728309,-1,0,1,1,0,0
1.0,-1,0,0,1,0,0
6.135792439661959,-1,0,1,1,0,0
7.646027242213619,-1,0,1,1,0,0
1.259921049894873,-1,0,1,1,0,0
4.946087443248701,-1,0,1,1,0,0
8.401398104397819,-1,0,1,1,0,0
6.463304070095651,-1,0,1,1,0,0
7.306143574062803,-1,0,1,1,0,0
1.8171205928321394,-1,0,1,1,0,0
4.140817749422853,-1,0,1,1,0,0
5.45136177849642,-1,0,1,1,0,0
6.11803317263662,-1,0,1,1,0,0
2.3513346877207573,-1,0,1,1,0,0
3.732511156817248,-1,0,1,1,0,0
3.9148676411688634,-1,0,1,1,0,0
0.0,-1,0,1,1,0,0
8.975240590173236,-1,0,1,1,0,0
9.201228569388713,-1,0,1,1,0,0
2.8438669798515654,-1,0,1,1,0,0
3.684031498640387,-1,0,1,1,0,0
0.0,-1,0,1,1,0,0
-7.19196634814781,-1,0,1,1,0,0
6.341325705384997,-1,0,1,1,0,0
4.834588127111639,-1,0,1,1,0,0
-6.265826556058272,-1,0,1,1,0,0
6.423158288562369,-1,0,1,1,0,0
9.431642272283664,-1,0,0,1,0,0
7.230426792525691,-1,0,1,1,0,0
3.391211443014167,-1,0,1,1,0,0
0.0,-1,0,1,1,0,0
21.991043185881743,-1,0,1,1,0,0
3.9790572078963917,-1,0,1,1,0,0
-1.9129311827723892,-1,0,1,1,0,0
-1.4422495703074083,-1,0,0,1,0,0
7.968627128696237,-1,0,1,1,0,0
0.0,-1,0,1,1,0,0
13.725963515757014,-1,0,1,1,0,0
3.659305710022972,-1,0,1,1,0,0
4.7026693754415145,-1,0,1,1,0,0
8.087579399090064,-1,0,1,1,0,0
4.5788569702133275,-1,0,1,1,0,0
-5.550499102911547,-1,0,1,1,0,0
-7.140036981921557,-1,0,1,1,0,0
0.0,-1,0,1,1,0,0
0.0,-1,0,0,1,0,0
0.0,-1,0,1,1,0,0
10.888684494906178,-1,0,1,1,0,0
-6.248799769526244,-1,0,1,1,0,0
0.0,-1,0,1,1,0,0
-4.235823584254893,-1,0,1,1,0,0
-4.687548147653597,-1,0,1,1,0,0
6.240251469155712,-1,0,0,1,0,0
7.512571508442145,-1,0,1,1,0,0
6.738664100805333,-1,0,1,1,0,0
2.8844991406148166,-1,0,1,1,0,0
5.635740794544237,-1,0,1,1,0,0
0.0,-1,0,1,1,0,0
9.963198061209827,-1,0,1,1,0,0
6.291194551556288,-1,0,1,1,0,0
9.244335465376484,-1,0,1,1,0,0
5.360108410965363,-1,0,1,1,0,0
18.69122334955331,-1,0,1,1,0,0
4.641588833612779,-1,0,0,1,0,0
3.8929964158732604,-1,0,1,1,0,0
10.641324387124875,-1,0,1,1,0,0
23.035232705457013,-1,0,1,1,0,0
18.105349293423767,-1,0,1,1,0,0
2.924017738212866,-1,0,1,1,0,0
6.557672186169711,-1,0,1,1,0,0
2.8438669798515654,-1,0,1,1,0,0
12.465504894581294,-1,0,1,1,0,0
7.268482371328558,-1,0,1,1,0,0
8.349125609133617,-1,0,0,1,0,0
4.497941445275415,-1,0,0,1,0,0
0.0,-1,0,1,1,0,0
1.0,-1,0,1,1,0,0
5.9059405836244885,-1,0,1,1,0,0
5.473703674798427,-1,0,0,1,0,0
8.836555922403612,-1,0,1,1,0,0
13.281815085529857,-1,0,1,1,0,1
5.155136735475772,-1,0,1,1,0,0
5.5720546555426225,-1,0,1,1,0,0
3.556893304490063,-1,0,0,1,0,1
10.829321328319995,-1,0,1,1,0,1
2.519842099789746,-1,0,1,1,0,0
7.86222418262669,-1,0,1,1,0,0
3.684031498640387,-1,0,0,1,0,0
5.33680329744389,-1,0,1,1,0,0
6.619105948026229,-1,0,1,1,0,0
3.7797631496846193,-1,0,1,1,0,0
-3.3322218516459534,-1,0,0,1,0,0
4.657009507803836,-1,0,1,1,0,0
7.2621674399379685,-1,0,0,1,0,0
4.326748710922225,-1,0,1,1,0,0
0.0,-1,0,1,1,0,0
6.11803317263662,-1,0,1,1,0,0
-8.767719195546437,-1,0,1,1,0,0
4.481404746557165,-1,0,0,1,0,0
5.039684199579492,-1,0,1,1,0,0
5.635740794544237,-1,0,1,1,0,0
0.0,-1,0,1,1,0,0
3.7797631496846193,-1,0,1,1,0,0
5.325074021614987,-1,0,1,1,0,0
3.9364971831021736,-1,0,0,1,0,0
3.107232505953859,-1,0,1,1,0,0
8.056886202875548,-1,0,1,1,0,0
3.141380652391393,-1,0,1,1,0,0
4.2908404270262075,-1,0,0,1,0,0
-3.2396118012774835,-1,0,1,1,0,0
7.651724731089557,-1,0,1,1,0,0
4.326748710922225,-1,0,1,1,0,0
5.241482788417793,-1,0,1,1,0,0
7.054004063162273,-1,0,1,1,0,0
-4.06154810044568,-1,0,1,1,0,0
6.398827910357771,-1,0,0,1,0,0
0.0,-1,0,0,1,0,0
3.8258623655447783,-1,0,1,1,0,0
2.9624960684073702,-1,0,1,1,0,0
1.4422495703074083,-1,0,1,1,0,0
3.4482172403827303,-1,0,1,1,0,0
1.9129311827723892,-1,0,0,1,0,0
4.717693980316533,-1,0,1,1,0,0
9.352285751899476,-1,0,1,1,0,0
-2.519842099789746,-1,0,1,1,0,0
0.0,-1,0,1,1,0,0
13.528517676932639,-1,0,1,1,0,1
10.58212247015734,-1,0,0,1,0,0
6.009245006917366,-1,0,1,1,0,0
