balance,pdays,previous,housing,contact_cellular,contact_unknown,poutcome_success,poutcome_unknown,y
0.7388893691094963,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.645631029761348,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.9011529171385958,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
0.5372486027198503,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.9377980683386575,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0
-0.2137247754688927,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.0008032644582031649,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.9011529171385958,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.38145616734602616,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
0.10569322541076573,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.16755031894882394,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.04872200137795576,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.822595749460949,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.4949876789300667,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.3102197114293073,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.21622857816439975,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.7472792012694294,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.5525530697595749,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.5268434131385377,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-1.0787837684767698,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
0.18659681003680764,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
0.21845788350929876,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.6778391912227381,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.5593880083100959,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-1.0787837684767698,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-2.092748179440131,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.1847475240992575,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.39717597649653064,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-1.962175712426622,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.17321030006588545,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
0.2509429207333585,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0
-0.059396984835170016,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.6006714488670396,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-1.0787837684767698,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
2.0216388518522304,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.517793602131895,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-1.3484797105959623,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-1.2821203339204514,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0
0.04467870640202431,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-1.0787837684767698,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
0.8563808078624175,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.5628739909297892,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.41577463406208887,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
0.061449275526515995,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.43323041269896845,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-1.8613247706167182,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-2.0854268813849943,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-1.0787837684767698,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-1.0787837684767698,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0
-1.0787837684767698,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
0.4563650386205848,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-1.9597751790063018,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-1.0787837684767698,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-1.675974322164474,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-1.7396610260048235,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.19899754605996814,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0
-0.019618614521419987,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.12872849222916732,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.6721106375894068,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-0.28422490676102957,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
-1.0787837684767698,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
